dtype,m,n,k,mcblas_runtime_ns,mcblas_tflops,mcblas_err_max,status
bf16,3584,16,3584,60928.0,6.746353,3.29932,ok
bf16,3584,16,18944,135936.0,15.982885,2.913043,ok
bf16,3584,32,3584,51712.0,15.897346,3.29932,ok
bf16,3584,32,18944,134912.0,32.208394,2.913043,ok
bf16,3584,48,3584,57600.0,21.408426,3.29932,ok
bf16,3584,48,18944,137216.0,47.501373,2.913043,ok
bf16,3584,64,3584,53333.0,30.828135,3.29932,ok
bf16,3584,64,18944,137216.0,63.335163,2.913043,ok
bf16,3584,80,3584,57941.0,35.470516,3.29932,ok
bf16,3584,80,18944,144811.0,75.0169,2.913043,ok
bf16,3584,96,3584,58027.0,42.502024,3.29932,ok
bf16,3584,96,18944,151381.0,86.112974,2.913043,ok
bf16,3584,112,3584,59307.0,48.5155,3.29932,ok
bf16,3584,112,18944,155392.0,97.872131,2.913043,ok
bf16,3584,128,3584,59392.0,55.36662,3.29932,ok
bf16,3584,128,18944,162560.0,106.921729,2.913043,ok
bf16,3584,144,3584,88576.0,41.764995,3.29932,ok
bf16,3584,144,18944,221781.0,88.167227,2.913043,ok
bf16,3584,160,3584,83115.0,49.454783,3.29932,ok
bf16,3584,160,18944,235179.0,92.382931,2.913043,ok
bf16,3584,176,3584,84992.0,53.19865,3.29932,ok
bf16,3584,176,18944,225536.0,105.96598,2.913043,ok
bf16,3584,192,3584,89941.0,54.841321,3.29932,ok
bf16,3584,192,18944,229376.0,113.664001,2.913043,ok
bf16,3584,208,3584,93611.0,57.082634,3.29932,ok
bf16,3584,208,18944,235691.0,119.836915,2.913043,ok
bf16,3584,224,3584,90709.0,63.439838,3.29932,ok
bf16,3584,224,18944,234325.0,129.807105,2.913043,ok
bf16,3584,240,3584,94891.0,64.976117,3.29932,ok
bf16,3584,240,18944,239531.0,136.056661,2.913043,ok
bf16,3584,256,3584,95061.0,69.183426,3.29932,ok
bf16,3584,256,18944,246784.0,140.861615,2.913043,ok
bf16,4608,16,3584,66560.0,7.939938,3.29932,ok
bf16,4608,32,3584,65024.0,16.254993,3.29932,ok
bf16,4608,48,3584,68437.0,23.166404,3.29932,ok
bf16,4608,64,3584,71509.0,29.561585,3.29932,ok
bf16,4608,80,3584,71680.0,36.864,3.29932,ok
bf16,4608,96,3584,67669.0,46.858654,3.29932,ok
bf16,4608,112,3584,69035.0,53.587224,3.29932,ok
bf16,4608,128,3584,69205.0,61.091511,3.29932,ok
bf16,4608,144,3584,81920.0,58.060801,3.29932,ok
bf16,4608,160,3584,81920.0,64.512002,3.29932,ok
bf16,4608,176,3584,81664.0,71.185654,3.29932,ok
bf16,4608,192,3584,78507.0,80.780242,3.29932,ok
bf16,4608,208,3584,80128.0,85.741189,3.29932,ok
bf16,4608,224,3584,80213.0,92.238434,3.29932,ok
