target,dtype,status,family,m,n,k,runs,runtime_ms_min,runtime_ms_avg,runtime_ms_max,tflops_min,tflops_avg,tflops_max,err_max,mcblas_tflops,vs_mcblas_ratio
cute_tn_example_1664x1024x16384_bf16,bf16,ok,cute_tk_tn_example_bf16_128x128x128_stage4,1664,1024,16384,1,0.36864,0.36864,0.36864,151.460975,151.460975,151.460975,0.0,222.464,0.6808336404991369
cute_layoutc_1664x1024x16384_bf16,bf16,ok,cute_tk_layoutc_128x128x128_stage4,1664,1024,16384,1,0.368811,0.368811,0.368811,151.390891,151.390891,151.390891,0.0,222.464,0.6805186052574799
cute_tn_example_2048cube_bf16,bf16,ok,cute_tk_tn_example_bf16_128x128x128_stage4,2048,2048,2048,1,0.172117,0.172117,0.172117,99.81487,99.81487,99.81487,0.0,165.906,0.6016350825166058
cute_layoutc_2048cube_bf16,bf16,ok,cute_tk_layoutc_128x128x128_stage4,2048,2048,2048,1,0.173227,0.173227,0.173227,99.175662,99.175662,99.175662,0.0,165.906,0.5977822501898665
cute_tn_example_4096cube_bf16,bf16,ok,cute_tk_tn_example_bf16_128x128x128_stage4,4096,4096,4096,1,0.917589,0.917589,0.917589,149.782639,149.782639,149.782639,0.0,197.601,0.7580054706200879
cute_layoutc_4096cube_bf16,bf16,ok,cute_tk_layoutc_128x128x128_stage4,4096,4096,4096,1,0.919893,0.919893,0.919893,149.407491,149.407491,149.407491,0.0,197.601,0.756106957960739
cute_reusea_n128,bf16,ok,cute_tk_continuousc_reusea_n_params,4608,128,3584,1,0.087723,0.087723,0.087723,48.195735,48.195735,48.195735,0.0,61.091511,0.7889105083683394
cute_tn_example_4608x128x3584_bf16,bf16,ok,cute_tk_tn_example_bf16_128x128x128_stage4,4608,128,3584,1,0.105728,0.105728,0.105728,39.988069,39.988069,39.988069,0.0,61.091511,0.6545601564839345
cute_reusea_n256,bf16,ok,cute_tk_continuousc_reusea_n_params,4608,256,3584,1,0.134485,0.134485,0.134485,62.874639,62.874639,62.874639,0.0,101.112685,0.6218274096865295
cute_tn_example_3584x128x3584_bf16,bf16,ok,cute_tk_tn_example_bf16_128x128x128_stage4,3584,128,3584,1,0.109056,0.109056,0.109056,30.152713,30.152713,30.152713,0.0,55.36662,0.5446009346425699
cute_reusea_3584x128x3584,bf16,ok,cute_tk_continuousc_reusea_n_params,3584,128,3584,1,0.082773,0.082773,0.082773,39.726978,39.726978,39.726978,0.0,55.36662,0.7175257944227046
cute_tn_example_4608x256x3584_bf16,bf16,ok,cute_tk_tn_example_bf16_128x128x128_stage4,4608,256,3584,1,0.110251,0.110251,0.110251,76.695381,76.695381,76.695381,0.0,101.112685,0.7585139391758808
cute_tn_example_37888x256x3584_bf16,bf16,ok,cute_tk_tn_example_bf16_128x128x128_stage4,37888,256,3584,1,0.518997,0.518997,0.518997,133.959808,133.959808,133.959808,0.0,147.839517,0.9061163802368213
cute_reusea_37888x256x3584,bf16,ok,cute_tk_continuousc_reusea_n_params,37888,256,3584,1,0.58368,0.58368,0.58368,119.114552,119.114552,119.114552,0.0,147.839517,0.8057017123506972
cute_tn_example_3584x128x18944_bf16,bf16,ok,cute_tk_tn_example_bf16_128x128x128_stage4,3584,128,18944,1,0.410539,0.410539,0.410539,42.337537,42.337537,42.337537,0.0,106.921729,0.39596756801416855
cute_reusea_3584x128x18944,bf16,ok,cute_tk_continuousc_reusea_n_params,3584,128,18944,1,0.270848,0.270848,0.270848,64.173246,64.173246,64.173246,0.005348,106.921729,0.6001890036776342
cute_tn_example_37888x128x3584_bf16,bf16,ok,cute_tk_tn_example_bf16_128x128x128_stage4,37888,128,3584,1,0.274347,0.274347,0.274347,126.709731,126.709731,126.709731,0.0,76.573642,1.65474342986063
cute_continuousc_37888x128x3584_bf16,bf16,ok,cute_tk_continuousc_128x128x128_stage4,37888,128,3584,1,0.34176,0.34176,0.34176,101.715796,101.715796,101.715796,0.0,76.573642,1.3283395349015787
