dtype,m,n,k,mcblas_runtime_ns,mcblas_tflops,mcblas_err_max
fp16,3584,256,3584,146432.0,44.912784,3.303602
fp16,3584,256,18944,284416.0,122.223759,2.923311
fp16,3584,288,3584,113408.0,65.240127,3.303602
fp16,3584,288,18944,327424.0,119.440517,2.923311
fp16,3584,320,3584,94720.0,86.79092,3.303602
fp16,3584,320,18944,333312.0,130.36731,2.923311
fp16,3584,352,3584,95488.0,94.702159,3.303602
fp16,3584,352,18944,325888.0,146.670903,2.923311
fp16,3584,384,3584,93952.0,105.000458,3.303602
fp16,3584,384,18944,344832.0,151.214466,2.923311
fp16,3584,416,3584,170752.0,62.588352,3.303602
fp16,3584,416,18944,472064.0,119.663621,2.923311
fp16,3584,448,3584,169728.0,67.809498,3.303602
fp16,3584,448,18944,471808.0,128.938439,2.923311
fp16,3584,480,3584,188928.0,65.269596,3.303602
fp16,3584,480,18944,476416.0,136.812125,2.923311
fp16,4608,256,3584,94464.0,89.512589,3.303602
fp16,4608,288,3584,170752.0,55.710512,3.303602
fp16,4608,320,3584,181248.0,58.315934,3.303602
fp16,4608,352,3584,427776.0,27.179202,3.303602
fp16,4608,384,3584,180992.0,70.078096,3.303602
fp16,4608,416,3584,192768.0,71.280194,3.303602
fp16,4608,448,3584,185344.0,79.838057,3.303602
fp16,4608,480,3584,190208.0,83.353323,3.303602
fp16,37888,256,3584,481024.0,144.534958,23.670898
fp16,37888,288,3584,677632.0,115.424573,23.670898
fp16,37888,320,3584,703744.0,123.4909,23.670898
fp16,37888,352,3584,683776.0,139.806858,23.670898
fp16,37888,384,3584,685056.0,152.231612,23.670898
fp16,37888,416,3584,687616.0,164.303585,23.670898
fp16,37888,448,3584,688896.0,176.613553,23.670898
fp16,37888,480,3584,685312.0,190.218431,23.670898
