family,dtype,m,n,k,muxi_runtime_ns,muxi_tflops,muxi_ref_runtime_ns,muxi_ref_tflops,muxi_speedup,muxi_err_max,local_family,local_runtime_ns,local_tflops,local_err_max,local_vs_muxi_ratio
muxi_hgemm_layoutC,fp16,4608,256,3584,140925.86934566498,60.00116872268283,202069.05901432037,41.845678429178776,1.4338677487146274,0.0,tk_local_bf16_layoutc_128x128x128_stage4,130304.0,64.892231,0.0,1.081516116793041
muxi_hgemm_layoutC,fp16,4608,288,3584,211857.25927352905,44.90137135078374,154504.55248355865,61.56893967905752,0.7292860910849306,0.03125,unsupported_shape,,,,
muxi_hgemm_layoutC,fp16,4608,320,3584,225549.56376552582,46.86174472493269,170219.68960762024,62.09414495094243,0.7546886226061392,0.0625,unsupported_shape,,,,
muxi_hgemm_layoutC,fp16,4608,352,3584,326072.7971792221,35.656487718629194,446334.48123931885,26.04909810175737,1.3688185126157466,0.0625,unsupported_shape,,,,
muxi_hgemm_layoutC,fp16,4608,384,3584,322692.0962333679,39.30550343206224,457243.99387836456,27.73918403698938,1.4169668213617788,0.03125,tk_local_bf16_layoutc_128x128x128_stage4,200960.0,63.114926,0.0,1.6057528968962642
muxi_hgemm_layoutC,fp16,4608,416,3584,220015.64502716064,62.45255832740325,244276.59809589386,56.24992328821436,1.1102692177446665,0.0625,unsupported_shape,,,,
muxi_hgemm_layoutC,fp16,4608,448,3584,314444.30351257324,47.05922271989358,404991.2095069885,36.53784122873574,1.2879584873471708,0.0625,unsupported_shape,,,,
muxi_hgemm_layoutC,fp16,4608,480,3584,314617.5295114517,50.392834577969424,295965.0009870529,53.56872963737208,0.9407136387048648,0.0,unsupported_shape,,,,
muxi_hgemm_layoutC,fp16,3584,256,3584,257801.26452445984,25.510614481008545,272274.0173339844,24.154595199338257,1.0561391847174255,0.0,tk_local_bf16_layoutc_128x128x128_stage4,128000.0,51.380222,0.0,2.014072300698604
muxi_hgemm_layoutC,fp16,3584,288,3584,144341.96054935455,51.25849910754233,146944.0758228302,50.35080328737201,1.0180274347360407,0.0,unsupported_shape,,,,
muxi_hgemm_layoutC,fp16,3584,320,3584,149998.81386756897,54.80600564787142,177063.04788589478,46.42886213784016,1.1804296535452625,0.0,unsupported_shape,,,,
muxi_hgemm_layoutC,fp16,3584,352,3584,257667.1540737152,35.09535181737964,281058.25185775757,32.17453806898573,1.090780285396215,0.0,unsupported_shape,,,,
muxi_hgemm_layoutC,fp16,3584,384,3584,148570.16503810883,66.3996234066886,183409.07990932465,53.78688455815353,1.2344946905206675,0.0,tk_local_bf16_layoutc_128x128x128_stage4,109568.0,90.035439,0.0,1.3559630970878442
muxi_hgemm_layoutC,fp16,3584,416,3584,224567.9497718811,47.589545181563416,191971.65966033936,55.670126574458706,0.8548488769450251,0.0625,unsupported_shape,,,,
muxi_hgemm_layoutC,fp16,3584,448,3584,234376.63912773132,49.105449326490664,179933.38406085968,63.96350647252431,0.7677104029245808,0.0625,unsupported_shape,,,,
